NamedEntity-Location: Deutschland |frequenzy: 37
NamedEntity-Location: Syrien |frequenzy: 23
NamedEntity-Location: Irak |frequenzy: 15
NamedEntity-Location: Saudi-Arabien |frequenzy: 14
NamedEntity-Location: Iran |frequenzy: 12
NamedEntity-Location: Bund |frequenzy: 10
NamedEntity-Location: Libanon |frequenzy: 9
NamedEntity-Location: Syriens |frequenzy: 8
NamedEntity-Location: Europa |frequenzy: 8
NamedEntity-Location: Deutschlands |frequenzy: 8
NamedEntity-Location: Landes |frequenzy: 8
NamedEntity-Location: Russland |frequenzy: 8
NamedEntity-Location: Kurden |frequenzy: 8
NamedEntity-Location: Türkei |frequenzy: 7
NamedEntity-Location: Mali |frequenzy: 7
NamedEntity-Location: Jemen |frequenzy: 7
NamedEntity-Location: Frankreich |frequenzy: 6
NamedEntity-Location: Staaten |frequenzy: 6
NamedEntity-Location: Islamische Staat |frequenzy: 6
NamedEntity-Location: Islamischen Staat |frequenzy: 6
NamedEntity-Location: Augsburg |frequenzy: 6
NamedEntity-Location: Bagdad |frequenzy: 5
NamedEntity-Location: Afrika |frequenzy: 5
NamedEntity-Location: Berlin |frequenzy: 5
NamedEntity-Location: Nordirak |frequenzy: 5
NamedEntity-Location: Israel |frequenzy: 5
NamedEntity-Location: Rot-Grün |frequenzy: 4
NamedEntity-Location: Erbil |frequenzy: 4
NamedEntity-Location: Iraks |frequenzy: 4
NamedEntity-Location: Paris |frequenzy: 4
NamedEntity-Location: Interfraktionell |frequenzy: 4
NamedEntity-Location: Zweitens |frequenzy: 4
NamedEntity-Location: Malis |frequenzy: 4
NamedEntity-Location: Bamako |frequenzy: 3
NamedEntity-Location: Bundesrepublik |frequenzy: 3
NamedEntity-Location: Bundes |frequenzy: 3
NamedEntity-Location: Israels |frequenzy: 3
NamedEntity-Location: Afghanistan |frequenzy: 3
NamedEntity-Location: Nahe |frequenzy: 3
NamedEntity-Location: USA |frequenzy: 3
NamedEntity-Location: Kurdistan |frequenzy: 3
NamedEntity-Location: Bundesrepublik Deutschland |frequenzy: 3
NamedEntity-Location: Land |frequenzy: 3
NamedEntity-Location: Kurdistan-Irak |frequenzy: 3
NamedEntity-Location: Leyen |frequenzy: 3
NamedEntity-Location: Schleswig-Holstein |frequenzy: 2
NamedEntity-Location: Atareb |frequenzy: 2
NamedEntity-Location: Ägypten |frequenzy: 2
NamedEntity-Location: Lesen |frequenzy: 2
NamedEntity-Location: Kanada |frequenzy: 2
NamedEntity-Location: Union |frequenzy: 2
NamedEntity-Location: Auswärtige Amt |frequenzy: 2
NamedEntity-Location: Punktesystem |frequenzy: 2
NamedEntity-Location: Hohen Haus |frequenzy: 2
NamedEntity-Location: Libanon  |frequenzy: 2
NamedEntity-Location: Drittens |frequenzy: 2
NamedEntity-Location: Bahrain |frequenzy: 2
