NamedEntity-Location: Deutschland |frequenzy: 166
NamedEntity-Location: Europa |frequenzy: 62
NamedEntity-Location: Syrien |frequenzy: 44
NamedEntity-Location: Landes |frequenzy: 32
NamedEntity-Location: Irak |frequenzy: 31
NamedEntity-Location: Deutschlands |frequenzy: 28
NamedEntity-Location: Staaten |frequenzy: 28
NamedEntity-Location: Afghanistan |frequenzy: 24
NamedEntity-Location: Berlin |frequenzy: 20
NamedEntity-Location: Iran |frequenzy: 18
NamedEntity-Location: Europas |frequenzy: 18
NamedEntity-Location: Mittelmeer |frequenzy: 17
NamedEntity-Location: Zweitens |frequenzy: 17
NamedEntity-Location: Saudi-Arabien |frequenzy: 16
NamedEntity-Location: Kurden |frequenzy: 16
NamedEntity-Location: USA |frequenzy: 16
NamedEntity-Location: Mali |frequenzy: 15
NamedEntity-Location: Paris |frequenzy: 15
NamedEntity-Location: Bundesrepublik Deutschland |frequenzy: 15
NamedEntity-Location: Russland |frequenzy: 14
NamedEntity-Location: Erstens |frequenzy: 14
NamedEntity-Location: Frankreich |frequenzy: 14
NamedEntity-Location: Bundesverfassungsgericht |frequenzy: 13
NamedEntity-Location: Afrika |frequenzy: 13
NamedEntity-Location: Bund |frequenzy: 13
NamedEntity-Location: Brüssel |frequenzy: 13
NamedEntity-Location: Irland |frequenzy: 13
NamedEntity-Location: Hohen Hause |frequenzy: 12
NamedEntity-Location: Erfurt |frequenzy: 12
NamedEntity-Location: Islamische Staat |frequenzy: 12
NamedEntity-Location: Union |frequenzy: 11
NamedEntity-Location: Interfraktionell |frequenzy: 11
NamedEntity-Location: Görlitz |frequenzy: 11
NamedEntity-Location: China |frequenzy: 11
NamedEntity-Location: Türkei |frequenzy: 11
NamedEntity-Location: Syriens |frequenzy: 10
NamedEntity-Location: Großbritannien |frequenzy: 10
NamedEntity-Location: Islamischen Staat |frequenzy: 10
NamedEntity-Location: Hohen Haus |frequenzy: 10
NamedEntity-Location: Libanon |frequenzy: 10
NamedEntity-Location: Südsudan |frequenzy: 10
NamedEntity-Location: Libyen |frequenzy: 9
NamedEntity-Location: Sudan |frequenzy: 9
NamedEntity-Location: Bagdad |frequenzy: 9
NamedEntity-Location: Nordirak |frequenzy: 9
NamedEntity-Location: Darfur |frequenzy: 9
NamedEntity-Location: Drittens |frequenzy: 9
NamedEntity-Location: Leyen |frequenzy: 9
NamedEntity-Location: Brexit |frequenzy: 8
NamedEntity-Location: Land |frequenzy: 8
NamedEntity-Location: Glyphosat |frequenzy: 8
NamedEntity-Location: Erbil |frequenzy: 7
NamedEntity-Location: Leipzig |frequenzy: 7
NamedEntity-Location: Jemen |frequenzy: 7
NamedEntity-Location: Islamischen Staates |frequenzy: 7
NamedEntity-Location: Afghanistans |frequenzy: 7
NamedEntity-Location: Bayern |frequenzy: 7
NamedEntity-Location: Augsburg |frequenzy: 7
NamedEntity-Location: Bundesrepublik |frequenzy: 7
NamedEntity-Location: Malis |frequenzy: 7
NamedEntity-Location: Warum |frequenzy: 6
NamedEntity-Location: Ägypten |frequenzy: 6
NamedEntity-Location: Jamaika |frequenzy: 6
NamedEntity-Location: Israel |frequenzy: 6
NamedEntity-Location: Mandates |frequenzy: 6
NamedEntity-Location: Hindukusch |frequenzy: 6
NamedEntity-Location: Kurdistan-Irak |frequenzy: 6
NamedEntity-Location: IS |frequenzy: 6
NamedEntity-Location: Russlands |frequenzy: 6
NamedEntity-Location: Schweden |frequenzy: 6
NamedEntity-Location: Plenum |frequenzy: 6
NamedEntity-Location: Iraks |frequenzy: 6
NamedEntity-Location: Netzwerkdurchsetzungsgesetzes |frequenzy: 6
NamedEntity-Location: Bundesverfassungsgerichts |frequenzy: 6
NamedEntity-Location: Finanzminister |frequenzy: 5
NamedEntity-Location: europäischen Staaten |frequenzy: 5
NamedEntity-Location: den USA |frequenzy: 5
NamedEntity-Location: Konsens |frequenzy: 5
NamedEntity-Location: Portugal |frequenzy: 5
NamedEntity-Location: Offensichtlich |frequenzy: 5
NamedEntity-Location: Bamako |frequenzy: 5
NamedEntity-Location: Irlands |frequenzy: 5
NamedEntity-Location: Erde |frequenzy: 5
NamedEntity-Location: Hetze |frequenzy: 5
NamedEntity-Location: Lausitz |frequenzy: 5
NamedEntity-Location: Kabul |frequenzy: 5
NamedEntity-Location: Italien |frequenzy: 5
NamedEntity-Location: Bonn |frequenzy: 5
NamedEntity-Location: Bundes |frequenzy: 5
NamedEntity-Location: Heidelberg |frequenzy: 5
NamedEntity-Location: Briten |frequenzy: 5
NamedEntity-Location: Jordanien |frequenzy: 5
NamedEntity-Location: Ihrem |frequenzy: 4
NamedEntity-Location: Amerikaner |frequenzy: 4
NamedEntity-Location: Schleswig-Holstein |frequenzy: 4
NamedEntity-Location: Mülheim |frequenzy: 4
NamedEntity-Location: Offenbach |frequenzy: 4
NamedEntity-Location: Dänemark |frequenzy: 4
NamedEntity-Location: Lesen |frequenzy: 4
NamedEntity-Location: Nein |frequenzy: 4
NamedEntity-Location: Juba |frequenzy: 4
NamedEntity-Location: Rot-Grün |frequenzy: 4
NamedEntity-Location: Kurdistan |frequenzy: 4
NamedEntity-Location: Spanien |frequenzy: 4
NamedEntity-Location: Hause |frequenzy: 4
NamedEntity-Location: Nordirland |frequenzy: 4
NamedEntity-Location: Afrikas |frequenzy: 4
NamedEntity-Location: Panama Papers |frequenzy: 4
NamedEntity-Location: Pariser |frequenzy: 3
NamedEntity-Location: Krisenzeiten |frequenzy: 3
NamedEntity-Location: Wagniskapital |frequenzy: 3
NamedEntity-Location: Krankenhäusern |frequenzy: 3
NamedEntity-Location: Hohen Hauses |frequenzy: 3
NamedEntity-Location: Mittelmeerraum |frequenzy: 3
NamedEntity-Location: Rolle |frequenzy: 3
NamedEntity-Location: Haustür |frequenzy: 3
NamedEntity-Location: Thomae |frequenzy: 3
NamedEntity-Location: Mosul |frequenzy: 3
NamedEntity-Location: Vereinigten Staaten von Europa |frequenzy: 3
NamedEntity-Location: Defizite |frequenzy: 3
NamedEntity-Location: Republik |frequenzy: 3
NamedEntity-Location: Niedersachsen |frequenzy: 3
NamedEntity-Location: Erachtens |frequenzy: 3
NamedEntity-Location: Konzerne |frequenzy: 3
NamedEntity-Location: Stahlbranche |frequenzy: 3
NamedEntity-Location: Republik Irland |frequenzy: 3
NamedEntity-Location: Sachsen |frequenzy: 3
NamedEntity-Location: Wieso |frequenzy: 3
NamedEntity-Location: US-Präsident |frequenzy: 3
NamedEntity-Location: Gao |frequenzy: 3
NamedEntity-Location: Vereinigten Staaten |frequenzy: 3
NamedEntity-Location: Islam |frequenzy: 3
NamedEntity-Location: Nahe |frequenzy: 3
NamedEntity-Location: Vereinigten Staaten von Amerika |frequenzy: 3
NamedEntity-Location: Katar |frequenzy: 3
NamedEntity-Location: Zulassungsbehörden |frequenzy: 3
NamedEntity-Location: Franzosen |frequenzy: 3
NamedEntity-Location: Auswärtige Amt |frequenzy: 3
NamedEntity-Location: Israels |frequenzy: 3
NamedEntity-Location: Frankreichs |frequenzy: 3
NamedEntity-Location: Morgen |frequenzy: 3
NamedEntity-Location: Damaskus |frequenzy: 3
NamedEntity-Location: Thüringen |frequenzy: 3
NamedEntity-Location: Niederlande |frequenzy: 3
NamedEntity-Location: Uns |frequenzy: 3
NamedEntity-Location: Sorbonne |frequenzy: 3
NamedEntity-Location: Amerika |frequenzy: 3
NamedEntity-Location: Versöhnungsprozess |frequenzy: 3
NamedEntity-Location: Ostdeutschland |frequenzy: 3
NamedEntity-Location: Masar-i-Scharif |frequenzy: 3
NamedEntity-Location: Afghanen |frequenzy: 3
NamedEntity-Location: Kanada |frequenzy: 3
NamedEntity-Location: Aleppo |frequenzy: 3
NamedEntity-Location: Polen |frequenzy: 3
NamedEntity-Location: Kurzum |frequenzy: 3
NamedEntity-Location: Incirlik |frequenzy: 3
NamedEntity-Location: Sotschi |frequenzy: 3
NamedEntity-Location: Beteiligungskapital |frequenzy: 3
NamedEntity-Location: Lindner |frequenzy: 3
NamedEntity-Location: Ländern |frequenzy: 3
NamedEntity-Location: Sahelregion |frequenzy: 2
NamedEntity-Location: Arbeitnehmerseite |frequenzy: 2
NamedEntity-Location: Haushaltsüberschüssen |frequenzy: 2
NamedEntity-Location: pauschal |frequenzy: 2
NamedEntity-Location: Tisch |frequenzy: 2
NamedEntity-Location: Atareb |frequenzy: 2
NamedEntity-Location: Erlangen |frequenzy: 2
NamedEntity-Location: ­NATO-Einsatz |frequenzy: 2
NamedEntity-Location: Afghanistan-Einsatz |frequenzy: 2
NamedEntity-Location: Auslandseinsatz |frequenzy: 2
