NamedEntity-Location: Deutschland |frequenzy: 1977
NamedEntity-Location: Europa |frequenzy: 593
NamedEntity-Location: Bund |frequenzy: 304
NamedEntity-Location: Staaten |frequenzy: 297
NamedEntity-Location: Deutschlands |frequenzy: 296
NamedEntity-Location: Berlin |frequenzy: 293
NamedEntity-Location: Landes |frequenzy: 287
NamedEntity-Location: Zweitens |frequenzy: 278
NamedEntity-Location: Erstens |frequenzy: 262
NamedEntity-Location: China |frequenzy: 201
NamedEntity-Location: Union |frequenzy: 198
NamedEntity-Location: USA |frequenzy: 193
NamedEntity-Location: Frankreich |frequenzy: 177
NamedEntity-Location: Corona |frequenzy: 164
NamedEntity-Location: Russland |frequenzy: 161
NamedEntity-Location: Drittens |frequenzy: 155
NamedEntity-Location: Brüssel |frequenzy: 142
NamedEntity-Location: Europas |frequenzy: 142
NamedEntity-Location: Syrien |frequenzy: 136
NamedEntity-Location: Afrika |frequenzy: 135
NamedEntity-Location: Bundesverfassungsgericht |frequenzy: 131
NamedEntity-Location: Bundesrepublik Deutschland |frequenzy: 130
NamedEntity-Location: Plenum |frequenzy: 124
NamedEntity-Location: Erfurt |frequenzy: 110
NamedEntity-Location: Finanzminister |frequenzy: 106
NamedEntity-Location: Großbritannien |frequenzy: 105
NamedEntity-Location: Hamburg |frequenzy: 104
NamedEntity-Location: Türkei |frequenzy: 102
NamedEntity-Location: Bayern |frequenzy: 93
NamedEntity-Location: Warum |frequenzy: 93
NamedEntity-Location: Afghanistan |frequenzy: 92
NamedEntity-Location: Bundesrepublik |frequenzy: 92
NamedEntity-Location: Lesen |frequenzy: 84
NamedEntity-Location: Österreich |frequenzy: 82
NamedEntity-Location: Italien |frequenzy: 81
NamedEntity-Location: Thüringen |frequenzy: 80
NamedEntity-Location: Baden-Württemberg |frequenzy: 77
NamedEntity-Location: Polen |frequenzy: 77
NamedEntity-Location: Bundesverfassungsgerichts |frequenzy: 77
NamedEntity-Location: Hohen Hause |frequenzy: 74
NamedEntity-Location: Hohen Haus |frequenzy: 72
NamedEntity-Location: Problem |frequenzy: 72
NamedEntity-Location: Bundes |frequenzy: 72
NamedEntity-Location: Brexit |frequenzy: 69
NamedEntity-Location: Na |frequenzy: 69
NamedEntity-Location: Israel |frequenzy: 69
NamedEntity-Location: Griechenland |frequenzy: 66
NamedEntity-Location: Irak |frequenzy: 66
NamedEntity-Location: Heidelberg |frequenzy: 64
NamedEntity-Location: Briten |frequenzy: 63
NamedEntity-Location: Erlangen |frequenzy: 62
NamedEntity-Location: Augsburg |frequenzy: 62
NamedEntity-Location: Iran |frequenzy: 62
NamedEntity-Location: den USA |frequenzy: 60
NamedEntity-Location: Bundesrechnungshof |frequenzy: 60
NamedEntity-Location: Straße |frequenzy: 59
NamedEntity-Location: Nordrhein-Westfalen |frequenzy: 58
NamedEntity-Location: Schweiz |frequenzy: 58
NamedEntity-Location: Hetze |frequenzy: 57
NamedEntity-Location: Mittelmeer |frequenzy: 56
