NamedEntity-Location: Deutschland |frequenzy: 17
NamedEntity-Location: Erfurt |frequenzy: 6
NamedEntity-Location: Thüringen |frequenzy: 5
NamedEntity-Location: Europa |frequenzy: 5
NamedEntity-Location: Bund |frequenzy: 4
NamedEntity-Location: Staaten |frequenzy: 4
NamedEntity-Location: Union |frequenzy: 4
NamedEntity-Location: Finanzminister |frequenzy: 4
NamedEntity-Location: Unterschiede |frequenzy: 3
NamedEntity-Location: Irland |frequenzy: 3
NamedEntity-Location: Landes |frequenzy: 3
NamedEntity-Location: Weimar |frequenzy: 3
NamedEntity-Location: Deutschlands |frequenzy: 3
NamedEntity-Location: Berlin |frequenzy: 3
NamedEntity-Location: Superreichen |frequenzy: 2
NamedEntity-Location: Augsburg |frequenzy: 2
NamedEntity-Location: Erstens |frequenzy: 2
NamedEntity-Location: Brandenburg |frequenzy: 2
NamedEntity-Location: Sachsen |frequenzy: 2
NamedEntity-Location: Konsens |frequenzy: 2
NamedEntity-Location: Problem |frequenzy: 2
NamedEntity-Location: Europas |frequenzy: 2
NamedEntity-Location: Bundesminister |frequenzy: 2
NamedEntity-Location: Bundesfinanzminister |frequenzy: 2
NamedEntity-Location: Lindner |frequenzy: 2
NamedEntity-Location: Opfern |frequenzy: 2
NamedEntity-Location: Zweitens |frequenzy: 2
NamedEntity-Location: Plenum |frequenzy: 2
NamedEntity-Location: Wahlkämpfen |frequenzy: 2
NamedEntity-Location: den USA |frequenzy: 2
NamedEntity-Location: Weihnachtsferien |frequenzy: 2
NamedEntity-Location: Frankfurt |frequenzy: 2
NamedEntity-Location: Stadt |frequenzy: 2
NamedEntity-Location: Irlands |frequenzy: 1
NamedEntity-Location: Gesamtpaket |frequenzy: 1
NamedEntity-Location: Einzelner |frequenzy: 1
NamedEntity-Location: Übertreiben |frequenzy: 1
NamedEntity-Location: Wahlkreis |frequenzy: 1
NamedEntity-Location: Vereinbarungsweg |frequenzy: 1
NamedEntity-Location: London |frequenzy: 1
NamedEntity-Location: Bundesminister der Finanzen |frequenzy: 1
NamedEntity-Location: St  Petersburg |frequenzy: 1
NamedEntity-Location: Russland |frequenzy: 1
NamedEntity-Location: Lügen |frequenzy: 1
NamedEntity-Location: Europapolitik |frequenzy: 1
NamedEntity-Location: Sachsen-Anhalt |frequenzy: 1
NamedEntity-Location: Südafrika |frequenzy: 1
NamedEntity-Location: Schwindeln |frequenzy: 1
NamedEntity-Location: Afghanistan |frequenzy: 1
NamedEntity-Location: Thüringer Landtag |frequenzy: 1
NamedEntity-Location: Schuldenmacher |frequenzy: 1
NamedEntity-Location: Individuums |frequenzy: 1
NamedEntity-Location: Willy-Brandt-Haus |frequenzy: 1
NamedEntity-Location: Republik |frequenzy: 1
NamedEntity-Location: Bayern |frequenzy: 1
NamedEntity-Location: Mehrheitswahlrechts |frequenzy: 1
NamedEntity-Location: Krisenzeiten |frequenzy: 1
NamedEntity-Location: PaulZiemiakCDU |frequenzy: 1
NamedEntity-Location: näherer Zeit |frequenzy: 1
NamedEntity-Location: Whatever |frequenzy: 1
NamedEntity-Location: Großbritannien |frequenzy: 1
