NamedEntity-Miscellanies: CSU-Fraktion |frequenzy: 4016
NamedEntity-Miscellanies: deutschen |frequenzy: 3815
NamedEntity-Miscellanies: deutsche |frequenzy: 3023
NamedEntity-Miscellanies: Zeit |frequenzy: 2859
NamedEntity-Miscellanies: europäischen |frequenzy: 2272
NamedEntity-Miscellanies: sozialen |frequenzy: 2239
NamedEntity-Miscellanies: soziale |frequenzy: 1844
NamedEntity-Miscellanies: europäische |frequenzy: 1734
NamedEntity-Miscellanies: Tag |frequenzy: 1517
NamedEntity-Miscellanies: Bündnis 90/ |frequenzy: 1127
NamedEntity-Miscellanies: Bundeskanzlerin |frequenzy: 990
NamedEntity-Miscellanies: demokratischen |frequenzy: 935
NamedEntity-Miscellanies: AfD  |frequenzy: 884
NamedEntity-Miscellanies: europäischer |frequenzy: 879
NamedEntity-Miscellanies: deutscher |frequenzy: 829
NamedEntity-Miscellanies: … |frequenzy: 829
NamedEntity-Miscellanies: Mir |frequenzy: 783
NamedEntity-Miscellanies: Jahr  |frequenzy: 772
NamedEntity-Miscellanies: Internet |frequenzy: 714
NamedEntity-Miscellanies: Coronakrise |frequenzy: 626
NamedEntity-Miscellanies: Deutsche |frequenzy: 621
NamedEntity-Miscellanies: Deutschen |frequenzy: 599
NamedEntity-Miscellanies: Das Wort |frequenzy: 593
NamedEntity-Miscellanies: demokratische |frequenzy: 546
NamedEntity-Miscellanies: Drucksache  |frequenzy: 530
NamedEntity-Miscellanies: Virus |frequenzy: 508
NamedEntity-Miscellanies: sozialer |frequenzy: 478
NamedEntity-Miscellanies: Tages |frequenzy: 464
NamedEntity-Miscellanies: Wort |frequenzy: 434
NamedEntity-Miscellanies: Fakt |frequenzy: 376
NamedEntity-Miscellanies: Der nächste Redner |frequenzy: 320
NamedEntity-Miscellanies: schlimm |frequenzy: 318
NamedEntity-Miscellanies: Männern |frequenzy: 316
NamedEntity-Miscellanies: Weihnachten |frequenzy: 316
NamedEntity-Miscellanies: Lockdown |frequenzy: 312
NamedEntity-Miscellanies: Krieg |frequenzy: 304
NamedEntity-Miscellanies: amerikanischen |frequenzy: 303
NamedEntity-Miscellanies: Euro |frequenzy: 298
NamedEntity-Miscellanies: Kohleausstieg |frequenzy: 291
NamedEntity-Miscellanies: Bundestagswahl |frequenzy: 286
NamedEntity-Miscellanies: deutsches |frequenzy: 280
NamedEntity-Miscellanies: CO2 |frequenzy: 270
NamedEntity-Miscellanies: französischen |frequenzy: 268
NamedEntity-Miscellanies: GroKo |frequenzy: 263
NamedEntity-Miscellanies: Die nächste Frage |frequenzy: 258
NamedEntity-Miscellanies: Anschluss |frequenzy: 257
NamedEntity-Miscellanies: Untersuchungsausschuss |frequenzy: 255
NamedEntity-Miscellanies: mitmachen |frequenzy: 250
NamedEntity-Miscellanies: Wiedervereinigung |frequenzy: 250
NamedEntity-Miscellanies: Augenblick |frequenzy: 240
NamedEntity-Miscellanies: russischen |frequenzy: 240
NamedEntity-Miscellanies: Meine lieben Kolleginnen und Kollegen |frequenzy: 235
NamedEntity-Miscellanies: Berliner |frequenzy: 232
NamedEntity-Miscellanies: AfD-Fraktion |frequenzy: 231
NamedEntity-Miscellanies: Facebook |frequenzy: 228
NamedEntity-Miscellanies: Juden |frequenzy: 226
NamedEntity-Miscellanies: Deutschland  |frequenzy: 222
NamedEntity-Miscellanies: AfD |frequenzy: 221
NamedEntity-Miscellanies: DigitalPakt |frequenzy: 219
NamedEntity-Miscellanies: Dr AngelaMerkelBundeskanzlerinDr |frequenzy: 218
NamedEntity-Miscellanies: Bericht |frequenzy: 215
