NamedEntity-Miscellanies: deutsche |frequenzy: 59
NamedEntity-Miscellanies: deutschen |frequenzy: 57
NamedEntity-Miscellanies: CSU-Fraktion |frequenzy: 51
NamedEntity-Miscellanies: europäischen |frequenzy: 42
NamedEntity-Miscellanies: Hauptausschuss |frequenzy: 35
NamedEntity-Miscellanies: Zeit |frequenzy: 28
NamedEntity-Miscellanies: deutscher |frequenzy: 27
NamedEntity-Miscellanies: sozialen |frequenzy: 27
NamedEntity-Miscellanies: europäische |frequenzy: 27
NamedEntity-Miscellanies: soziale |frequenzy: 25
NamedEntity-Miscellanies: Drucksache  |frequenzy: 22
NamedEntity-Miscellanies: IS |frequenzy: 16
NamedEntity-Miscellanies: europäischer |frequenzy: 15
NamedEntity-Miscellanies: Krieg |frequenzy: 14
NamedEntity-Miscellanies: Bündnis 90/ |frequenzy: 12
NamedEntity-Miscellanies: Deutsche |frequenzy: 12
NamedEntity-Miscellanies: Bundeskanzlerin |frequenzy: 12
NamedEntity-Miscellanies: Tag |frequenzy: 11
NamedEntity-Miscellanies: Euro |frequenzy: 11
NamedEntity-Miscellanies: Facebook |frequenzy: 10
NamedEntity-Miscellanies: Mir |frequenzy: 10
NamedEntity-Miscellanies: AfD  |frequenzy: 10
NamedEntity-Miscellanies: irakischen |frequenzy: 10
NamedEntity-Miscellanies: Sea Guardian |frequenzy: 9
NamedEntity-Miscellanies: MINUSMA |frequenzy: 9
NamedEntity-Miscellanies: französische |frequenzy: 9
NamedEntity-Miscellanies: demokratischen |frequenzy: 9
NamedEntity-Miscellanies: Einwanderungsgesetz |frequenzy: 8
NamedEntity-Miscellanies: französischen |frequenzy: 8
NamedEntity-Miscellanies: … |frequenzy: 8
NamedEntity-Miscellanies: UNMISS |frequenzy: 8
NamedEntity-Miscellanies: Kohleausstieg |frequenzy: 8
NamedEntity-Miscellanies: Jahr  |frequenzy: 8
NamedEntity-Miscellanies: Weihnachten |frequenzy: 8
NamedEntity-Miscellanies: deutsches |frequenzy: 8
NamedEntity-Miscellanies: Bürgerkrieg |frequenzy: 7
NamedEntity-Miscellanies: völkerrechtliche |frequenzy: 6
NamedEntity-Miscellanies: Internet |frequenzy: 6
NamedEntity-Miscellanies: sozialer |frequenzy: 6
NamedEntity-Miscellanies: IARC |frequenzy: 6
NamedEntity-Miscellanies: Krieges |frequenzy: 6
NamedEntity-Miscellanies: Operation Sophia |frequenzy: 6
NamedEntity-Miscellanies: AfD-Fraktion |frequenzy: 6
NamedEntity-Miscellanies: NetzDG |frequenzy: 5
NamedEntity-Miscellanies: Tages |frequenzy: 5
NamedEntity-Miscellanies: Frieden |frequenzy: 5
NamedEntity-Miscellanies: irischen |frequenzy: 5
NamedEntity-Miscellanies: Anschluss |frequenzy: 5
NamedEntity-Miscellanies: Weihnachtsfest |frequenzy: 5
NamedEntity-Miscellanies: amerikanischen |frequenzy: 5
NamedEntity-Miscellanies: irakische |frequenzy: 4
NamedEntity-Miscellanies: Fakt |frequenzy: 4
NamedEntity-Miscellanies: AfD |frequenzy: 4
NamedEntity-Miscellanies: Deutschland  |frequenzy: 4
NamedEntity-Miscellanies: Unabhängigkeitsreferendum |frequenzy: 4
NamedEntity-Miscellanies: Meine lieben Kolleginnen und Kollegen |frequenzy: 4
NamedEntity-Miscellanies: Wirtschaftsminister |frequenzy: 4
NamedEntity-Miscellanies: Twitter |frequenzy: 4
NamedEntity-Miscellanies: Gesprächen |frequenzy: 4
NamedEntity-Miscellanies: Wort |frequenzy: 4
NamedEntity-Miscellanies: ehrliche |frequenzy: 4
NamedEntity-Miscellanies: arabischen |frequenzy: 4
NamedEntity-Miscellanies: Augenblick |frequenzy: 4
NamedEntity-Miscellanies: amerikanische |frequenzy: 3
NamedEntity-Miscellanies: irische |frequenzy: 3
NamedEntity-Miscellanies: Charta der Vereinten Nationen |frequenzy: 3
NamedEntity-Miscellanies: Operation |frequenzy: 3
NamedEntity-Miscellanies: Parlamentsarmee |frequenzy: 3
