NamedEntity-Miscellanies: deutschen |frequenzy: 875
NamedEntity-Miscellanies: CSU-Fraktion |frequenzy: 768
NamedEntity-Miscellanies: deutsche |frequenzy: 665
NamedEntity-Miscellanies: Zeit |frequenzy: 418
NamedEntity-Miscellanies: europäischen |frequenzy: 334
NamedEntity-Miscellanies: sozialen |frequenzy: 308
NamedEntity-Miscellanies: europäische |frequenzy: 234
NamedEntity-Miscellanies: soziale |frequenzy: 216
NamedEntity-Miscellanies: … |frequenzy: 211
NamedEntity-Miscellanies: Tag |frequenzy: 208
NamedEntity-Miscellanies: Deutschen |frequenzy: 197
NamedEntity-Miscellanies: deutscher |frequenzy: 195
NamedEntity-Miscellanies: demokratischen |frequenzy: 179
NamedEntity-Miscellanies: Bundeskanzlerin |frequenzy: 149
NamedEntity-Miscellanies: Deutsche |frequenzy: 132
NamedEntity-Miscellanies: Bündnis 90/ |frequenzy: 119
NamedEntity-Miscellanies: europäischer |frequenzy: 115
NamedEntity-Miscellanies: Internet |frequenzy: 114
NamedEntity-Miscellanies: Jahr  |frequenzy: 105
NamedEntity-Miscellanies: Coronakrise |frequenzy: 98
NamedEntity-Miscellanies: Mir |frequenzy: 95
NamedEntity-Miscellanies: demokratische |frequenzy: 94
NamedEntity-Miscellanies: Das Wort |frequenzy: 88
NamedEntity-Miscellanies: Lockdown |frequenzy: 82
NamedEntity-Miscellanies: Euro |frequenzy: 79
NamedEntity-Miscellanies: deutsches |frequenzy: 77
NamedEntity-Miscellanies: Virus |frequenzy: 77
NamedEntity-Miscellanies: Fakt |frequenzy: 73
NamedEntity-Miscellanies: AfD  |frequenzy: 67
NamedEntity-Miscellanies: Wort |frequenzy: 67
NamedEntity-Miscellanies: Drucksache  |frequenzy: 67
NamedEntity-Miscellanies: Männern |frequenzy: 66
NamedEntity-Miscellanies: CO2 |frequenzy: 65
NamedEntity-Miscellanies: GroKo |frequenzy: 64
NamedEntity-Miscellanies: sozialer |frequenzy: 62
NamedEntity-Miscellanies: sozialistischen |frequenzy: 59
NamedEntity-Miscellanies: Tages |frequenzy: 59
NamedEntity-Miscellanies: Weihnachten |frequenzy: 58
NamedEntity-Miscellanies: amerikanischen |frequenzy: 58
NamedEntity-Miscellanies: deutschem |frequenzy: 56
NamedEntity-Miscellanies: Krieg |frequenzy: 53
NamedEntity-Miscellanies: Bundestagswahl |frequenzy: 51
NamedEntity-Miscellanies: Anschluss |frequenzy: 50
NamedEntity-Miscellanies: schlimm |frequenzy: 50
NamedEntity-Miscellanies: AfD |frequenzy: 49
NamedEntity-Miscellanies: amerikanische |frequenzy: 49
NamedEntity-Miscellanies: Kohleausstieg |frequenzy: 49
NamedEntity-Miscellanies: Deutsch |frequenzy: 48
NamedEntity-Miscellanies: AfD  |frequenzy: 48
NamedEntity-Miscellanies: französischen |frequenzy: 47
NamedEntity-Miscellanies: Juden |frequenzy: 44
