NamedEntity-Organisation: CDU |frequenzy: 5237
NamedEntity-Organisation: SPD |frequenzy: 4748
NamedEntity-Organisation: FDP |frequenzy: 4555
NamedEntity-Organisation: Die Linke |frequenzy: 3632
NamedEntity-Organisation: Präsident! |frequenzy: 3124
NamedEntity-Organisation: Die Grünen |frequenzy: 3017
NamedEntity-Organisation: SPD-Fraktion |frequenzy: 2917
NamedEntity-Organisation: Bundestag |frequenzy: 2693
NamedEntity-Organisation: CDU/CSU |frequenzy: 2673
NamedEntity-Organisation: Deutschen Bundestag |frequenzy: 1962
NamedEntity-Organisation: EU |frequenzy: 1919
NamedEntity-Organisation: FDP-Fraktion |frequenzy: 1846
NamedEntity-Organisation: Damen |frequenzy: 1505
NamedEntity-Organisation: Europäischen Union |frequenzy: 1406
NamedEntity-Organisation: Grünen |frequenzy: 1391
NamedEntity-Organisation: Union |frequenzy: 1353
NamedEntity-Organisation: Bundeswehr |frequenzy: 1335
NamedEntity-Organisation: AfD |frequenzy: 1239
NamedEntity-Organisation: Grüne |frequenzy: 1112
NamedEntity-Organisation: die Grünen |frequenzy: 1034
NamedEntity-Organisation: Europäische Union |frequenzy: 845
NamedEntity-Organisation: CSU |frequenzy: 837
NamedEntity-Organisation: Linken |frequenzy: 767
NamedEntity-Organisation: AfD-Fraktion |frequenzy: 743
NamedEntity-Organisation: Kommission |frequenzy: 730
NamedEntity-Organisation: Coronapandemie |frequenzy: 684
NamedEntity-Organisation: NATO |frequenzy: 637
NamedEntity-Organisation: Vereinten Nationen |frequenzy: 634
NamedEntity-Organisation: Abgeordneten |frequenzy: 620
NamedEntity-Organisation: Deutschen Bundestages |frequenzy: 609
NamedEntity-Organisation: Danke |frequenzy: 596
NamedEntity-Organisation: Deutsche Bundestag |frequenzy: 594
NamedEntity-Organisation: den Grünen |frequenzy: 517
NamedEntity-Organisation: Sozialdemokraten |frequenzy: 502
NamedEntity-Organisation: GRÜNENDr |frequenzy: 466
NamedEntity-Organisation: Freien Demokraten |frequenzy: 450
NamedEntity-Organisation: DDR |frequenzy: 438
NamedEntity-Organisation: Bundestages |frequenzy: 436
NamedEntity-Organisation: Partei |frequenzy: 431
NamedEntity-Organisation: Gewerkschaften |frequenzy: 414
NamedEntity-Organisation: EU-Kommission |frequenzy: 411
NamedEntity-Organisation: Deutschland |frequenzy: 394
NamedEntity-Organisation: Pandemie |frequenzy: 356
NamedEntity-Organisation: Hause |frequenzy: 349
NamedEntity-Organisation: Linke |frequenzy: 337
NamedEntity-Organisation: Liebe Kolleginnen! |frequenzy: 317
NamedEntity-Organisation: Demokraten |frequenzy: 308
NamedEntity-Organisation: Ministerium |frequenzy: 307
NamedEntity-Organisation: Abgeordneter |frequenzy: 289
NamedEntity-Organisation: Kommunen |frequenzy: 263
NamedEntity-Organisation: Parlaments |frequenzy: 243
NamedEntity-Organisation: Parlament |frequenzy: 239
NamedEntity-Organisation: EZB |frequenzy: 233
NamedEntity-Organisation: Bundespolizei |frequenzy: 215
NamedEntity-Organisation: SPD-Bundestagsfraktion |frequenzy: 210
NamedEntity-Organisation: Bundesagentur für Arbeit |frequenzy: 192
NamedEntity-Organisation: Zentrum |frequenzy: 188
NamedEntity-Organisation: Streitkräfte |frequenzy: 187
NamedEntity-Organisation: UN |frequenzy: 185
NamedEntity-Organisation: Europäische Kommission |frequenzy: 176
NamedEntity-Organisation: Europäischen Parlament |frequenzy: 162
NamedEntity-Organisation: Antisemitismus |frequenzy: 162
NamedEntity-Organisation: BAMF |frequenzy: 160
NamedEntity-Organisation: Europäischen Kommission |frequenzy: 158
NamedEntity-Organisation: AuswärtigenBundesminister AAHeiko Maas |frequenzy: 156
NamedEntity-Organisation: WHO |frequenzy: 156
NamedEntity-Organisation: EU-Ebene |frequenzy: 154
NamedEntity-Organisation: Verfassung |frequenzy: 152
NamedEntity-Organisation: Bundesminister für Gesundheit |frequenzy: 150
NamedEntity-Organisation: Bundes |frequenzy: 148
NamedEntity-Organisation: Deutscher Bundestag |frequenzy: 146
NamedEntity-Organisation: Sowjetunion |frequenzy: 142
NamedEntity-Organisation: Taliban |frequenzy: 141
NamedEntity-Organisation: KI |frequenzy: 141
NamedEntity-Organisation: FinanzenBundesminister |frequenzy: 139
NamedEntity-Organisation: OECD |frequenzy: 138
NamedEntity-Organisation: Wir Freien Demokraten |frequenzy: 137
NamedEntity-Organisation: Verteidigungsministerium |frequenzy: 136
NamedEntity-Organisation: Konkret |frequenzy: 135
NamedEntity-Organisation: KfW |frequenzy: 133
NamedEntity-Organisation: ESM |frequenzy: 132
NamedEntity-Organisation: Bundesminister für Arbeit und Soziales |frequenzy: 131
NamedEntity-Organisation: EuGH |frequenzy: 128
NamedEntity-Organisation: FDP-Antrag |frequenzy: 126
NamedEntity-Organisation: Gesundheitsminister |frequenzy: 125
NamedEntity-Organisation: Ihrer Partei |frequenzy: 119
NamedEntity-Organisation: EU-Staaten |frequenzy: 119
NamedEntity-Organisation: Justizministerium |frequenzy: 119
NamedEntity-Organisation: BaFin |frequenzy: 119
NamedEntity-Organisation: VW |frequenzy: 116
NamedEntity-Organisation: Kommune |frequenzy: 114
NamedEntity-Organisation: Militär |frequenzy: 114
NamedEntity-Organisation: Wir Freie Demokraten |frequenzy: 113
NamedEntity-Organisation: Europäische Parlament |frequenzy: 113
NamedEntity-Organisation: VerteidigungBundesministerin |frequenzy: 112
NamedEntity-Organisation: Bundesminister für Wirtschaft und Energie |frequenzy: 111
NamedEntity-Organisation: Lufthansa |frequenzy: 110
NamedEntity-Organisation: Spiegel |frequenzy: 110
NamedEntity-Organisation: wir Grünen |frequenzy: 110
NamedEntity-Organisation: Dr HelgeBraunBundesminister |frequenzy: 109
NamedEntity-Organisation: BMBF |frequenzy: 108
NamedEntity-Organisation: Euro-Zone |frequenzy: 107
NamedEntity-Organisation: Fraktion |frequenzy: 106
NamedEntity-Organisation: UNO |frequenzy: 106
NamedEntity-Organisation: Wir Grünen |frequenzy: 105
NamedEntity-Organisation: Steuergeldern |frequenzy: 105
NamedEntity-Organisation: EU-Mitgliedstaaten |frequenzy: 105
NamedEntity-Organisation: BMASHubertus Heil |frequenzy: 104
NamedEntity-Organisation: Assad |frequenzy: 102
NamedEntity-Organisation: absurd |frequenzy: 102
NamedEntity-Organisation: BMI |frequenzy: 101
NamedEntity-Organisation: Europarat |frequenzy: 101
NamedEntity-Organisation: Weltgesundheitsorganisation |frequenzy: 100
NamedEntity-Organisation: EU-Richtlinie |frequenzy: 100
NamedEntity-Organisation: Werten |frequenzy: 99
NamedEntity-Organisation: EU-Haushalt |frequenzy: 99
NamedEntity-Organisation: OSZE |frequenzy: 99
NamedEntity-Organisation: Hisbollah |frequenzy: 97
NamedEntity-Organisation: Freie Demokraten |frequenzy: 97
NamedEntity-Organisation: BMJVChristine |frequenzy: 96
NamedEntity-Organisation: Nazis |frequenzy: 96
NamedEntity-Organisation: Bundesminister für Verkehr |frequenzy: 96
NamedEntity-Organisation: HeimatBundesminister |frequenzy: 95
NamedEntity-Organisation: RKI |frequenzy: 94
NamedEntity-Organisation: Europäischen Rat |frequenzy: 92
NamedEntity-Organisation: konkret |frequenzy: 92
NamedEntity-Organisation: FAZ |frequenzy: 92
NamedEntity-Organisation: UN-Sicherheitsrat |frequenzy: 91
NamedEntity-Organisation: SED |frequenzy: 89
NamedEntity-Organisation: Liebe Kollegen! |frequenzy: 89
NamedEntity-Organisation: EnergieBundesminister |frequenzy: 88
NamedEntity-Organisation: PeterAltmaierBundesminister für Wirtschaft |frequenzy: 88
NamedEntity-Organisation: BMW |frequenzy: 88
NamedEntity-Organisation: Bundesministerin für Umwelt |frequenzy: 88
NamedEntity-Organisation: Bundesminister für wirtschaftliche Zusammenarbeit und Entwicklung |frequenzy: 87
NamedEntity-Organisation: SicherheitBundesministerin |frequenzy: 86
NamedEntity-Organisation: Liberalen |frequenzy: 86
NamedEntity-Organisation: Deutschen Bahn |frequenzy: 84
NamedEntity-Organisation: Konsum |frequenzy: 83
