NamedEntity-Organisation: Präsident! |frequenzy: 82
NamedEntity-Organisation: SPD |frequenzy: 67
NamedEntity-Organisation: CDU |frequenzy: 66
NamedEntity-Organisation: Die Linke |frequenzy: 60
NamedEntity-Organisation: Bundeswehr |frequenzy: 56
NamedEntity-Organisation: FDP |frequenzy: 53
NamedEntity-Organisation: Bundestag |frequenzy: 42
NamedEntity-Organisation: Deutschen Bundestag |frequenzy: 41
NamedEntity-Organisation: CDU/CSU |frequenzy: 38
NamedEntity-Organisation: Die Grünen |frequenzy: 37
NamedEntity-Organisation: Vereinten Nationen |frequenzy: 34
NamedEntity-Organisation: AfD |frequenzy: 30
NamedEntity-Organisation: Europäischen Union |frequenzy: 26
NamedEntity-Organisation: NATO |frequenzy: 25
NamedEntity-Organisation: SPD-Fraktion |frequenzy: 25
NamedEntity-Organisation: Siemens |frequenzy: 23
NamedEntity-Organisation: FDP-Fraktion |frequenzy: 20
NamedEntity-Organisation: Damen |frequenzy: 20
NamedEntity-Organisation: EU |frequenzy: 19
NamedEntity-Organisation: Deutsche Bundestag |frequenzy: 16
NamedEntity-Organisation: Europäische Union |frequenzy: 16
NamedEntity-Organisation: Union |frequenzy: 14
NamedEntity-Organisation: PESCO |frequenzy: 14
NamedEntity-Organisation: Deutschen Bundestages |frequenzy: 13
NamedEntity-Organisation: IS |frequenzy: 13
NamedEntity-Organisation: Grüne |frequenzy: 13
NamedEntity-Organisation: Freien Demokraten |frequenzy: 13
NamedEntity-Organisation: Kommission |frequenzy: 12
NamedEntity-Organisation: Assad |frequenzy: 12
NamedEntity-Organisation: Glyphosat |frequenzy: 11
NamedEntity-Organisation: Deutschland |frequenzy: 11
NamedEntity-Organisation: Grünen |frequenzy: 10
NamedEntity-Organisation: AfD-Fraktion |frequenzy: 10
NamedEntity-Organisation: Abgeordneten |frequenzy: 10
NamedEntity-Organisation: Taliban |frequenzy: 9
NamedEntity-Organisation: Bundestages |frequenzy: 9
NamedEntity-Organisation: EuGH |frequenzy: 9
NamedEntity-Organisation: Gewerkschaften |frequenzy: 8
NamedEntity-Organisation: Linken |frequenzy: 8
NamedEntity-Organisation: Danke |frequenzy: 8
NamedEntity-Organisation: Sozialdemokraten |frequenzy: 8
NamedEntity-Organisation: die Grünen |frequenzy: 8
NamedEntity-Organisation: Partei |frequenzy: 7
NamedEntity-Organisation: UN |frequenzy: 7
NamedEntity-Organisation: CSU |frequenzy: 7
NamedEntity-Organisation: UNAMID |frequenzy: 7
NamedEntity-Organisation: Sea Guardian |frequenzy: 7
NamedEntity-Organisation: IWF |frequenzy: 7
NamedEntity-Organisation: Demokraten |frequenzy: 7
NamedEntity-Organisation: Streitkräfte |frequenzy: 6
NamedEntity-Organisation: SPD-Bundestagsfraktion |frequenzy: 6
NamedEntity-Organisation: EZB |frequenzy: 6
NamedEntity-Organisation: WHO |frequenzy: 6
NamedEntity-Organisation: Linke |frequenzy: 6
NamedEntity-Organisation: Europäische Kommission |frequenzy: 6
NamedEntity-Organisation: Europäischen Gerichtshof |frequenzy: 6
NamedEntity-Organisation: Hisbollah |frequenzy: 6
NamedEntity-Organisation: Europäischen Kommission |frequenzy: 5
NamedEntity-Organisation: Freie Demokraten |frequenzy: 5
NamedEntity-Organisation: UN-Mandat |frequenzy: 5
NamedEntity-Organisation: KfW |frequenzy: 5
NamedEntity-Organisation: Bombardier |frequenzy: 5
NamedEntity-Organisation: EU-Kommission |frequenzy: 5
NamedEntity-Organisation: IARC |frequenzy: 4
NamedEntity-Organisation: Europäischen Zentralbank |frequenzy: 4
NamedEntity-Organisation: Militär |frequenzy: 4
NamedEntity-Organisation: Europäischen Rat |frequenzy: 4
NamedEntity-Organisation: Bundes |frequenzy: 4
NamedEntity-Organisation: den Grünen |frequenzy: 4
NamedEntity-Organisation: Afrikanische Union |frequenzy: 4
NamedEntity-Organisation: Europa |frequenzy: 4
NamedEntity-Organisation: UNIFIL |frequenzy: 4
NamedEntity-Organisation: UN-Sicherheitsrat |frequenzy: 4
NamedEntity-Organisation: UNO |frequenzy: 4
NamedEntity-Organisation: Ostdeutschland |frequenzy: 4
NamedEntity-Organisation: Deutschen Bundestags |frequenzy: 4
NamedEntity-Organisation: Terror |frequenzy: 4
NamedEntity-Organisation: Air Berlin |frequenzy: 4
NamedEntity-Organisation: EU-Bürger |frequenzy: 3
NamedEntity-Organisation: Internationale Agentur für Krebsforschung |frequenzy: 3
NamedEntity-Organisation: Afrikanischen Union |frequenzy: 3
NamedEntity-Organisation: UNMISS |frequenzy: 3
NamedEntity-Organisation: BMBF |frequenzy: 3
NamedEntity-Organisation: EFSF |frequenzy: 3
NamedEntity-Organisation: OECD |frequenzy: 3
NamedEntity-Organisation: irakischen Streitkräfte |frequenzy: 3
NamedEntity-Organisation: IOM |frequenzy: 3
NamedEntity-Organisation: UN-Mission |frequenzy: 3
NamedEntity-Organisation: IS-Terror |frequenzy: 3
NamedEntity-Organisation: Wir Freien Demokraten |frequenzy: 3
NamedEntity-Organisation: absurd |frequenzy: 3
NamedEntity-Organisation: Apple |frequenzy: 3
NamedEntity-Organisation: Zentralbank |frequenzy: 3
NamedEntity-Organisation: Europäische Gerichtshof |frequenzy: 3
NamedEntity-Organisation: Internationalen Organisation für Migration |frequenzy: 3
NamedEntity-Organisation: Siemens-Konzern |frequenzy: 3
NamedEntity-Organisation: EUTM Mali |frequenzy: 3
NamedEntity-Organisation: AfD! |frequenzy: 3
NamedEntity-Organisation: Parlament |frequenzy: 3
NamedEntity-Organisation: ISAF |frequenzy: 3
NamedEntity-Organisation: Marine |frequenzy: 3
NamedEntity-Organisation: Zentrum |frequenzy: 3
NamedEntity-Organisation: Euro-Zone |frequenzy: 3
NamedEntity-Organisation: internationalen Gemeinschaft |frequenzy: 3
NamedEntity-Organisation: Übergangsregierung |frequenzy: 2
NamedEntity-Organisation: GRÜNENDr |frequenzy: 2
NamedEntity-Organisation: Europäischen Verteidigungsfonds |frequenzy: 2
NamedEntity-Organisation: Terrororganisation IS |frequenzy: 2
NamedEntity-Organisation: Parlaments |frequenzy: 2
NamedEntity-Organisation: sudanesischen Regierung |frequenzy: 2
NamedEntity-Organisation: Demokrat |frequenzy: 2
NamedEntity-Organisation: UNIFIL-Mandat |frequenzy: 2
NamedEntity-Organisation: AWACS-Flugzeugen |frequenzy: 2
NamedEntity-Organisation: EZB-Rat |frequenzy: 2
NamedEntity-Organisation: Ihres Antrags |frequenzy: 2
NamedEntity-Organisation: EU-Staaten |frequenzy: 2
NamedEntity-Organisation: Wählerinnen |frequenzy: 2
NamedEntity-Organisation: Resolute Support |frequenzy: 2
NamedEntity-Organisation: britische Regierung |frequenzy: 2
NamedEntity-Organisation: Ministerin |frequenzy: 2
NamedEntity-Organisation: EU-Vertrag |frequenzy: 2
NamedEntity-Organisation: Deutscher Bundestag |frequenzy: 2
NamedEntity-Organisation: deutsche Einwanderungsrecht |frequenzy: 2
NamedEntity-Organisation: Soldatinnen und Soldaten |frequenzy: 2
NamedEntity-Organisation: der Grünen |frequenzy: 2
NamedEntity-Organisation: deutsche Marine |frequenzy: 2
NamedEntity-Organisation: EFSM |frequenzy: 2
NamedEntity-Organisation: BfR |frequenzy: 2
NamedEntity-Organisation: Gewerkschaft |frequenzy: 2
NamedEntity-Organisation: Abgeordnete! |frequenzy: 2
NamedEntity-Organisation: EUNAVFOR |frequenzy: 2
NamedEntity-Organisation: VN-Mission |frequenzy: 2
NamedEntity-Organisation: Europäische Parlament |frequenzy: 2
NamedEntity-Organisation: Bundesinstitut für Risikobewertung |frequenzy: 2
NamedEntity-Organisation: Ihre Partei |frequenzy: 2
NamedEntity-Organisation: Daesh |frequenzy: 2
NamedEntity-Organisation: ERP |frequenzy: 2
NamedEntity-Organisation: IG Metall |frequenzy: 2
NamedEntity-Organisation: ElisabethWinkelmeier-BeckerCDU |frequenzy: 2
NamedEntity-Organisation: Saudi-Arabien |frequenzy: 2
NamedEntity-Organisation: Lambsdorff |frequenzy: 2
NamedEntity-Organisation: Pariser Nonsenszielen |frequenzy: 2
NamedEntity-Organisation: Antrags der Bundesregierung |frequenzy: 2
NamedEntity-Organisation: Liberalen |frequenzy: 2
NamedEntity-Organisation: Internationalen Währungsfonds |frequenzy: 2
NamedEntity-Organisation: EUNAVFOR MED |frequenzy: 2
NamedEntity-Organisation: Effizienz |frequenzy: 2
NamedEntity-Organisation: UN-Generalsekretär |frequenzy: 2
NamedEntity-Organisation: General Electric |frequenzy: 2
NamedEntity-Organisation: Tarifpartnern |frequenzy: 2
NamedEntity-Organisation: Bundesagentur für Arbeit |frequenzy: 2
NamedEntity-Organisation: Deutschen BundeswehrVerbandes |frequenzy: 2
NamedEntity-Organisation: Ausbildungsmission |frequenzy: 2
NamedEntity-Organisation: Multidimensionalen Integrierten Stabilisierungsmission |frequenzy: 2
NamedEntity-Organisation: Einsatzes der Bundeswehr |frequenzy: 2
NamedEntity-Organisation: Küstenwache |frequenzy: 2
NamedEntity-Organisation: Wir Freie Demokraten |frequenzy: 2
NamedEntity-Organisation: Notice and take down |frequenzy: 2
NamedEntity-Organisation: YPG |frequenzy: 2
NamedEntity-Organisation: Kommune |frequenzy: 2
NamedEntity-Organisation: Monsanto |frequenzy: 2
NamedEntity-Organisation: deutsche Parlament |frequenzy: 2
NamedEntity-Organisation: Europäische Rat |frequenzy: 2
NamedEntity-Organisation: VDS |frequenzy: 1
NamedEntity-Organisation: Mission beteiligter Nationen |frequenzy: 1
NamedEntity-Organisation: Bundesinstitut |frequenzy: 1
NamedEntity-Organisation: Thyssen |frequenzy: 1
NamedEntity-Organisation: BundeswehrVerband |frequenzy: 1
NamedEntity-Organisation: Europas |frequenzy: 1
NamedEntity-Organisation: Resolute Support Mission |frequenzy: 1
NamedEntity-Organisation: Ihres Vorredners |frequenzy: 1
NamedEntity-Organisation: Ihrem Wahlprogramm |frequenzy: 1
NamedEntity-Organisation: Europäischen Investitionsbank  |frequenzy: 1
NamedEntity-Organisation: Mission Sea Guardian |frequenzy: 1
NamedEntity-Organisation: Schengen-Raumes |frequenzy: 1
NamedEntity-Organisation: Streitkräfte im Nordirak |frequenzy: 1
NamedEntity-Organisation: Liebe Kolleginnen! |frequenzy: 1
NamedEntity-Organisation: Europäischen Union – das |frequenzy: 1
NamedEntity-Organisation: Pestizid- |frequenzy: 1
NamedEntity-Organisation: Siemens-Werk |frequenzy: 1
NamedEntity-Organisation: Irak |frequenzy: 1
NamedEntity-Organisation: Schutzsuchende! |frequenzy: 1
NamedEntity-Organisation: Multis |frequenzy: 1
NamedEntity-Organisation: EU-Beratungsmission |frequenzy: 1
NamedEntity-Organisation: Anfangsziele |frequenzy: 1
NamedEntity-Organisation: Thorsten Frei |frequenzy: 1
NamedEntity-Organisation: Bunt-FDP |frequenzy: 1
NamedEntity-Organisation: Europäischen Verteidigungsunion |frequenzy: 1
NamedEntity-Organisation: Fug |frequenzy: 1
NamedEntity-Organisation: Par­adise Papers |frequenzy: 1
NamedEntity-Organisation: EU-Parlament |frequenzy: 1
NamedEntity-Organisation: CSUFlorian |frequenzy: 1
NamedEntity-Organisation: deutsche Außen- und Sicherheitspolitik |frequenzy: 1
NamedEntity-Organisation: Strafbarkeit |frequenzy: 1
NamedEntity-Organisation: PS |frequenzy: 1
NamedEntity-Organisation: ThorstenFreiCDU |frequenzy: 1
NamedEntity-Organisation: Weimarer Republik |frequenzy: 1
NamedEntity-Organisation: UNAMID-Mandat |frequenzy: 1
NamedEntity-Organisation: KMK |frequenzy: 1
NamedEntity-Organisation: NATO-Partner |frequenzy: 1
NamedEntity-Organisation: Europäische Verteidigungsfonds |frequenzy: 1
NamedEntity-Organisation: EU-Bluecard-Aufenthaltstitel |frequenzy: 1
NamedEntity-Organisation: Landwirtschaftsminister |frequenzy: 1
NamedEntity-Organisation: Bundesamt für Verbraucherschutz und Lebensmittelsicherheit |frequenzy: 1
NamedEntity-Organisation: Europäischen Rats |frequenzy: 1
NamedEntity-Organisation: Hause |frequenzy: 1
NamedEntity-Organisation: Mannesmann |frequenzy: 1
NamedEntity-Organisation: VN-Sicherheitsrat |frequenzy: 1
NamedEntity-Organisation: Internationalen Gerichtshof |frequenzy: 1
NamedEntity-Organisation: Bund und Ländern |frequenzy: 1
NamedEntity-Organisation: Union Schulterzucken |frequenzy: 1
NamedEntity-Organisation: EU-Mitglieder |frequenzy: 1
NamedEntity-Organisation: PKK |frequenzy: 1
NamedEntity-Organisation: Antiterrorkampfes |frequenzy: 1
NamedEntity-Organisation: à la Hollywood |frequenzy: 1
NamedEntity-Organisation: Blauen Karte EU |frequenzy: 1
NamedEntity-Organisation: Bundesamt für Migration und Flüchtlinge |frequenzy: 1
NamedEntity-Organisation: Bund für die Länder |frequenzy: 1
NamedEntity-Organisation: Amnesty International |frequenzy: 1
NamedEntity-Organisation: UN-Ideologen |frequenzy: 1
NamedEntity-Organisation: Vereinten Nationen für internationale Sicherheit und Weltfrieden |frequenzy: 1
NamedEntity-Organisation: christlichen Union |frequenzy: 1
NamedEntity-Organisation: Stiftung Wissenschaft und Politik |frequenzy: 1
NamedEntity-Organisation: Europäische Union  |frequenzy: 1
NamedEntity-Organisation: Wand |frequenzy: 1
NamedEntity-Organisation: Europäische Union international die Initiative |frequenzy: 1
NamedEntity-Organisation: Instituts der deutschen Wirtschaft |frequenzy: 1
NamedEntity-Organisation: Sozialdemokrat |frequenzy: 1
NamedEntity-Organisation: Wertpapiere |frequenzy: 1
NamedEntity-Organisation: Unrechtsbewusstsein |frequenzy: 1
NamedEntity-Organisation: AfD Herr Dr   |frequenzy: 1
NamedEntity-Organisation: Huthi |frequenzy: 1
NamedEntity-Organisation: IS-Schreckensherrschaft |frequenzy: 1
NamedEntity-Organisation: Gemeinschaft |frequenzy: 1
NamedEntity-Organisation: Unglücks |frequenzy: 1
NamedEntity-Organisation: deutschen Abstimmungsverhaltens |frequenzy: 1
NamedEntity-Organisation: BA |frequenzy: 1
NamedEntity-Organisation: Agentur für Arbeit |frequenzy: 1
NamedEntity-Organisation: Le Monde |frequenzy: 1
NamedEntity-Organisation: Lehman Brothers |frequenzy: 1
NamedEntity-Organisation: europäische Sicherheitsunion |frequenzy: 1
NamedEntity-Organisation: Europäischen Sicherheits- und Verteidigungspolitik |frequenzy: 1
NamedEntity-Organisation: StefanKaufmannCDU |frequenzy: 1
NamedEntity-Organisation: SPD-Parteivorsitzenden |frequenzy: 1
NamedEntity-Organisation: Bewertungsmethoden |frequenzy: 1
NamedEntity-Organisation: Minister Schmidt |frequenzy: 1
NamedEntity-Organisation: US-Air-Base Ramstein |frequenzy: 1
NamedEntity-Organisation: GUS |frequenzy: 1
NamedEntity-Organisation: BundesregierungFortsetzung |frequenzy: 1
NamedEntity-Organisation: Artikel-5-Komponente |frequenzy: 1
NamedEntity-Organisation: Division „Power and Gas |frequenzy: 1
NamedEntity-Organisation: GRÜNENMaria Klein-Schmeink |frequenzy: 1
NamedEntity-Organisation: Kreditanstalt für Wiederaufbau |frequenzy: 1
NamedEntity-Organisation: Europäischen Bürgerinitiative |frequenzy: 1
NamedEntity-Organisation: EU-Militärunion |frequenzy: 1
NamedEntity-Organisation: Irish Bank |frequenzy: 1
NamedEntity-Organisation: Rheinmetall |frequenzy: 1
NamedEntity-Organisation: EU-Bürokraten |frequenzy: 1
NamedEntity-Organisation: US-Behörde |frequenzy: 1
NamedEntity-Organisation: Streitkräfte des Landes |frequenzy: 1
NamedEntity-Organisation: UN-Angaben |frequenzy: 1
NamedEntity-Organisation: Blauhelmsoldaten |frequenzy: 1
NamedEntity-Organisation: Internationale Kampagne |frequenzy: 1
