NamedEntity-Organisation: CDU |frequenzy: 1002
NamedEntity-Organisation: SPD |frequenzy: 875
NamedEntity-Organisation: FDP |frequenzy: 732
NamedEntity-Organisation: SPD-Fraktion |frequenzy: 728
NamedEntity-Organisation: CDU/CSU |frequenzy: 510
NamedEntity-Organisation: Präsident! |frequenzy: 509
NamedEntity-Organisation: EU |frequenzy: 448
NamedEntity-Organisation: Die Linke |frequenzy: 445
NamedEntity-Organisation: Bundestag |frequenzy: 437
NamedEntity-Organisation: FDP-Fraktion |frequenzy: 418
NamedEntity-Organisation: Damen |frequenzy: 379
NamedEntity-Organisation: Die Grünen |frequenzy: 362
NamedEntity-Organisation: Deutschen Bundestag |frequenzy: 274
NamedEntity-Organisation: AfD |frequenzy: 273
NamedEntity-Organisation: Grünen |frequenzy: 248
NamedEntity-Organisation: die Grünen |frequenzy: 226
NamedEntity-Organisation: Bundeswehr |frequenzy: 204
NamedEntity-Organisation: Union |frequenzy: 187
NamedEntity-Organisation: Europäischen Union |frequenzy: 169
NamedEntity-Organisation: Grüne |frequenzy: 158
NamedEntity-Organisation: Danke |frequenzy: 153
NamedEntity-Organisation: Linken |frequenzy: 149
NamedEntity-Organisation: CSU |frequenzy: 130
NamedEntity-Organisation: Abgeordneten |frequenzy: 126
NamedEntity-Organisation: Kommission |frequenzy: 111
NamedEntity-Organisation: den Grünen |frequenzy: 110
NamedEntity-Organisation: DDR |frequenzy: 110
NamedEntity-Organisation: Europäische Union |frequenzy: 107
NamedEntity-Organisation: NATO |frequenzy: 102
NamedEntity-Organisation: EU-Kommission |frequenzy: 100
NamedEntity-Organisation: Deutschland |frequenzy: 88
NamedEntity-Organisation: Partei |frequenzy: 88
NamedEntity-Organisation: Deutsche Bundestag |frequenzy: 79
NamedEntity-Organisation: Vereinten Nationen |frequenzy: 75
NamedEntity-Organisation: Sozialdemokraten |frequenzy: 73
NamedEntity-Organisation: EZB |frequenzy: 73
NamedEntity-Organisation: Bundestages |frequenzy: 70
NamedEntity-Organisation: Linke |frequenzy: 63
NamedEntity-Organisation: Coronapandemie |frequenzy: 62
NamedEntity-Organisation: Deutschen Bundestages |frequenzy: 61
NamedEntity-Organisation: AfD-Fraktion |frequenzy: 57
NamedEntity-Organisation: Hause |frequenzy: 54
NamedEntity-Organisation: Freien Demokraten |frequenzy: 53
NamedEntity-Organisation: Demokraten |frequenzy: 52
NamedEntity-Organisation: Gewerkschaften |frequenzy: 51
NamedEntity-Organisation: Parlaments |frequenzy: 50
NamedEntity-Organisation: EU-Ebene |frequenzy: 44
NamedEntity-Organisation: WHO |frequenzy: 44
NamedEntity-Organisation: Streitkräfte |frequenzy: 43
NamedEntity-Organisation: UN |frequenzy: 40
NamedEntity-Organisation: Bundespolizei |frequenzy: 38
NamedEntity-Organisation: Liebe Kollegen |frequenzy: 36
NamedEntity-Organisation: Ministerium |frequenzy: 36
NamedEntity-Organisation: Antisemitismus |frequenzy: 35
NamedEntity-Organisation: Abgeordneter |frequenzy: 35
NamedEntity-Organisation: Liebe Kolleginnen! |frequenzy: 33
NamedEntity-Organisation: Verfassung |frequenzy: 33
NamedEntity-Organisation: GRÜNENDr |frequenzy: 33
