NamedEntity-Person: Wolfgang Kubicki |frequenzy: 20
NamedEntity-Person: Dr  Wolfgang Schäuble |frequenzy: 17
NamedEntity-Person: Liebe Kolleginnen |frequenzy: 13
NamedEntity-Person: Petra Pau |frequenzy: 11
NamedEntity-Person: Herzlichen |frequenzy: 8
NamedEntity-Person: Alexander Gauland |frequenzy: 6
NamedEntity-Person: Claudia Roth |frequenzy: 6
NamedEntity-Person: Ernst Dieter Rossmann |frequenzy: 6
NamedEntity-Person: Danke |frequenzy: 5
NamedEntity-Person: Nächster Redner |frequenzy: 5
NamedEntity-Person: Stephan Mayer |frequenzy: 5
NamedEntity-Person: Andrea Nahles |frequenzy: 5
NamedEntity-Person: Tankred Schipanski |frequenzy: 5
NamedEntity-Person: Helin |frequenzy: 5
NamedEntity-Person: Bernd Baumann |frequenzy: 5
NamedEntity-Person: Gabriel |frequenzy: 5
NamedEntity-Person: Bull-Bischoff |frequenzy: 5
NamedEntity-Person: Luise Amtsberg |frequenzy: 5
NamedEntity-Person: Niels Annen |frequenzy: 4
NamedEntity-Person: Marco Buschmann |frequenzy: 4
NamedEntity-Person: Kai Gehring |frequenzy: 4
NamedEntity-Person: Christine Buchholz |frequenzy: 4
NamedEntity-Person: Stephan Thomae |frequenzy: 3
NamedEntity-Person: Meine Damen |frequenzy: 3
NamedEntity-Person: Schipanski |frequenzy: 3
NamedEntity-Person: Norbert Röttgen |frequenzy: 3
NamedEntity-Person: Lassen |frequenzy: 3
NamedEntity-Person: Putin |frequenzy: 3
NamedEntity-Person: Sören Pellmann |frequenzy: 3
NamedEntity-Person: Merkel |frequenzy: 3
NamedEntity-Person: Mayer |frequenzy: 3
NamedEntity-Person: Gottfried Curio |frequenzy: 3
NamedEntity-Person: Alexander S  Neu |frequenzy: 3
NamedEntity-Person: Henning Otte |frequenzy: 3
NamedEntity-Person: Bamako |frequenzy: 2
NamedEntity-Person: Geflüchtete |frequenzy: 2
NamedEntity-Person: Daniela Kolbe |frequenzy: 2
NamedEntity-Person: Wilhelm II  |frequenzy: 2
NamedEntity-Person: Lambsdorff |frequenzy: 2
NamedEntity-Person: Florian Hahn |frequenzy: 2
NamedEntity-Person: Alexander Radwan |frequenzy: 2
NamedEntity-Person: Jürgen Braun |frequenzy: 2
NamedEntity-Person: Sevim |frequenzy: 2
NamedEntity-Person: Katja Keul |frequenzy: 2
NamedEntity-Person: Barzani |frequenzy: 2
NamedEntity-Person: Agnieszka Brugger |frequenzy: 2
