NamedEntity-Person: Wolfgang Kubicki |frequenzy: 61
NamedEntity-Person: Dr  Wolfgang Schäuble |frequenzy: 59
NamedEntity-Person: Liebe Kolleginnen |frequenzy: 52
NamedEntity-Person: Claudia Roth |frequenzy: 43
NamedEntity-Person: Danke |frequenzy: 31
NamedEntity-Person: Ulli Nissen |frequenzy: 27
NamedEntity-Person: Herzlichen |frequenzy: 27
NamedEntity-Person: Petra Pau |frequenzy: 25
NamedEntity-Person: Nächster Redner |frequenzy: 22
NamedEntity-Person: Thomas Oppermann |frequenzy: 21
NamedEntity-Person: Michael Grosse-Brömer |frequenzy: 16
NamedEntity-Person: Marco Buschmann |frequenzy: 15
NamedEntity-Person: Steffi Lemke |frequenzy: 14
NamedEntity-Person: Heike Hänsel |frequenzy: 14
NamedEntity-Person: Bernd Baumann |frequenzy: 12
NamedEntity-Person: Volker Kauder |frequenzy: 12
NamedEntity-Person: Lassen |frequenzy: 12
NamedEntity-Person: Meine Damen |frequenzy: 12
NamedEntity-Person: Martin Schulz |frequenzy: 12
NamedEntity-Person: Alexander Gauland |frequenzy: 12
NamedEntity-Person: Gabriel |frequenzy: 11
NamedEntity-Person: Tobias Pflüger |frequenzy: 10
NamedEntity-Person: Florian Hahn |frequenzy: 10
NamedEntity-Person: Carsten Schneider |frequenzy: 10
NamedEntity-Person: Henning Otte |frequenzy: 10
NamedEntity-Person: Siemens |frequenzy: 9
NamedEntity-Person: Hass |frequenzy: 9
NamedEntity-Person: Alexander S  Neu |frequenzy: 9
NamedEntity-Person: Stephan Thomae |frequenzy: 9
NamedEntity-Person: Alexander Ulrich |frequenzy: 9
NamedEntity-Person: Andrea Nahles |frequenzy: 8
NamedEntity-Person: Sea Guardian |frequenzy: 8
NamedEntity-Person: Klaus Ernst |frequenzy: 8
NamedEntity-Person: Nicola Beer |frequenzy: 7
NamedEntity-Person: Beatrix von Storch |frequenzy: 7
NamedEntity-Person: Alexander Graf Lambsdorff |frequenzy: 7
NamedEntity-Person: Jürgen Hardt |frequenzy: 7
NamedEntity-Person: Sigmar Gabriel |frequenzy: 7
NamedEntity-Person: Niels Annen |frequenzy: 7
NamedEntity-Person: Katja Keul |frequenzy: 7
NamedEntity-Person: Sevim |frequenzy: 7
NamedEntity-Person: Harald Ebner |frequenzy: 6
NamedEntity-Person: Jutta Krellmann |frequenzy: 6
NamedEntity-Person: Merkel |frequenzy: 6
NamedEntity-Person: Lambsdorff |frequenzy: 6
NamedEntity-Person: Oliver Krischer |frequenzy: 6
NamedEntity-Person: Donald Trump |frequenzy: 6
NamedEntity-Person: Interfraktionell |frequenzy: 6
NamedEntity-Person: Helin |frequenzy: 6
NamedEntity-Person: Schulz |frequenzy: 6
NamedEntity-Person: Christian Petry |frequenzy: 6
NamedEntity-Person: Resolute Support |frequenzy: 6
NamedEntity-Person: Matthias W  Birkwald |frequenzy: 6
NamedEntity-Person: Ernst Dieter Rossmann |frequenzy: 6
NamedEntity-Person: Jan Korte |frequenzy: 6
NamedEntity-Person: Angela Merkel |frequenzy: 5
NamedEntity-Person: Tankred Schipanski |frequenzy: 5
NamedEntity-Person: Emmanuel Macron |frequenzy: 5
NamedEntity-Person: Annalena Baerbock |frequenzy: 5
NamedEntity-Person: Uwe Kekeritz |frequenzy: 5
NamedEntity-Person: Stephan Mayer |frequenzy: 5
NamedEntity-Person: Reinhard Brandl |frequenzy: 5
NamedEntity-Person: Bull-Bischoff |frequenzy: 5
NamedEntity-Person: Kai Gehring |frequenzy: 5
