Speaker = Carsten Schneider

The Speaker: Carsten Schneider had used the following NOUNS: Herr | frequency: 105
The Speaker: Carsten Schneider had used the following NOUNS: Kollege | frequency: 77
The Speaker: Carsten Schneider had used the following NOUNS: Bundestag | frequency: 70
The Speaker: Carsten Schneider had used the following NOUNS: Jahr | frequency: 56
The Speaker: Carsten Schneider had used the following NOUNS: Kollegin | frequency: 51
The Speaker: Carsten Schneider had used the following NOUNS: Land | frequency: 49
The Speaker: Carsten Schneider had used the following NOUNS: Dame | frequency: 45
The Speaker: Carsten Schneider had used the following NOUNS: Dank | frequency: 42
The Speaker: Carsten Schneider had used the following NOUNS: Frau | frequency: 34
The Speaker: Carsten Schneider had used the following NOUNS: Prozent | frequency: 31
The Speaker: Carsten Schneider had used the following NOUNS: Dr. | frequency: 30
The Speaker: Carsten Schneider had used the following NOUNS: Präsident | frequency: 28
The Speaker: Carsten Schneider had used the following NOUNS: Mensch | frequency: 28
The Speaker: Carsten Schneider had used the following NOUNS: Debatte | frequency: 27
The Speaker: Carsten Schneider had used the following NOUNS: Frage | frequency: 26
The Speaker: Carsten Schneider had used the following NOUNS: Euro | frequency: 26
The Speaker: Carsten Schneider had used the following NOUNS: Abgeordnete | frequency: 25
The Speaker: Carsten Schneider had used the following NOUNS: Punkt | frequency: 25
The Speaker: Carsten Schneider had used the following NOUNS: Zeit | frequency: 22
The Speaker: Carsten Schneider had used the following NOUNS: Parlament | frequency: 21
The Speaker: Carsten Schneider had used the following NOUNS: Antrag | frequency: 19
The Speaker: Carsten Schneider had used the following NOUNS: Vorschlag | frequency: 19
The Speaker: Carsten Schneider had used the following NOUNS: Wort | frequency: 19
The Speaker: Carsten Schneider had used the following NOUNS: Bürger | frequency: 19
The Speaker: Carsten Schneider had used the following NOUNS: Entscheidung | frequency: 17
The Speaker: Carsten Schneider had used the following NOUNS: Staat | frequency: 17
The Speaker: Carsten Schneider had used the following NOUNS: Fraktion | frequency: 17
The Speaker: Carsten Schneider had used the following NOUNS: Demokratie | frequency: 16
The Speaker: Carsten Schneider had used the following NOUNS: Linke | frequency: 15
The Speaker: Carsten Schneider had used the following NOUNS: Sozialdemokrat | frequency: 15
The Speaker: Carsten Schneider had used the following NOUNS: Steuer | frequency: 14
The Speaker: Carsten Schneider had used the following NOUNS: Einkommen | frequency: 14
The Speaker: Carsten Schneider had used the following NOUNS: Teil | frequency: 14
The Speaker: Carsten Schneider had used the following NOUNS: Regierung | frequency: 14
The Speaker: Carsten Schneider had used the following NOUNS: Partei | frequency: 14
The Speaker: Carsten Schneider had used the following NOUNS: Leute | frequency: 14
The Speaker: Carsten Schneider had used the following NOUNS: Redner | frequency: 13
The Speaker: Carsten Schneider had used the following NOUNS: Grund | frequency: 12
The Speaker: Carsten Schneider had used the following NOUNS: Bundesregierung | frequency: 12
The Speaker: Carsten Schneider had used the following NOUNS: Vizepräsident | frequency: 12
The Speaker: Carsten Schneider had used the following NOUNS: Ding | frequency: 12
The Speaker: Carsten Schneider had used the following NOUNS: Tag | frequency: 12
The Speaker: Carsten Schneider had used the following NOUNS: Union | frequency: 12
The Speaker: Carsten Schneider had used the following NOUNS: Zukunft | frequency: 12
The Speaker: Carsten Schneider had used the following NOUNS: Verfassung | frequency: 11
The Speaker: Carsten Schneider had used the following NOUNS: Unterschied | frequency: 11
The Speaker: Carsten Schneider had used the following NOUNS: Problem | frequency: 11
The Speaker: Carsten Schneider had used the following NOUNS: Rede | frequency: 11
The Speaker: Carsten Schneider had used the following NOUNS: Verantwortung | frequency: 11
The Speaker: Carsten Schneider had used the following NOUNS: Geld | frequency: 11
The Speaker: Carsten Schneider had used the following NOUNS: Haus | frequency: 11
The Speaker: Carsten Schneider had used the following NOUNS: Weg | frequency: 10
The Speaker: Carsten Schneider had used the following NOUNS: Milliarde | frequency: 10
The Speaker: Carsten Schneider had used the following NOUNS: Wahlkreis | frequency: 10
