Session = 1

In the Session: 1 had been used the following VERBS: sein | frequency: 165
In the Session: 1 had been used the following VERBS: haben | frequency: 109
In the Session: 1 had been used the following VERBS: werden | frequency: 65
In the Session: 1 had been used the following VERBS: können | frequency: 37
In the Session: 1 had been used the following VERBS: wollen | frequency: 28
In the Session: 1 had been used the following VERBS: geben | frequency: 26
In the Session: 1 had been used the following VERBS: gehen | frequency: 21
In the Session: 1 had been used the following VERBS: müssen | frequency: 21
In the Session: 1 had been used the following VERBS: an | frequency: 20
In the Session: 1 had been used the following VERBS: nehmen | frequency: 20
In the Session: 1 had been used the following VERBS: stimmen | frequency: 18
In the Session: 1 had been used the following VERBS: wählen | frequency: 14
In the Session: 1 had been used the following VERBS: dürfen | frequency: 14
In the Session: 1 had been used the following VERBS: Enthaltung | frequency: 14
In the Session: 1 had been used the following VERBS: sollen | frequency: 13
In the Session: 1 had been used the following VERBS: finden | frequency: 13
In the Session: 1 had been used the following VERBS: eröffnen | frequency: 13
In the Session: 1 had been used the following VERBS: sagen | frequency: 12
In the Session: 1 had been used the following VERBS: mögen | frequency: 11
In the Session: 1 had been used the following VERBS: machen | frequency: 11
In the Session: 1 had been used the following VERBS: wünschen | frequency: 11
In the Session: 1 had been used the following VERBS: beginnen | frequency: 10
In the Session: 1 had been used the following VERBS: muss | frequency: 10
In the Session: 1 had been used the following VERBS: sehen | frequency: 10
In the Session: 1 had been used the following VERBS: tun | frequency: 10
In the Session: 1 had been used the following VERBS: fragen | frequency: 9
In the Session: 1 had been used the following VERBS: freuen | frequency: 8
In the Session: 1 had been used the following VERBS: brauchen | frequency: 8
In the Session: 1 had been used the following VERBS: zeigen | frequency: 7
In the Session: 1 had been used the following VERBS: streiten | frequency: 7
In the Session: 1 had been used the following VERBS: arbeiten | frequency: 7
In the Session: 1 had been used the following VERBS: mein | frequency: 7
In the Session: 1 had been used the following VERBS: kommen | frequency: 7
In the Session: 1 had been used the following VERBS: annehmen | frequency: 7
In the Session: 1 had been used the following VERBS: erinnern | frequency: 7
In the Session: 1 had been used the following VERBS: ändern | frequency: 6
In the Session: 1 had been used the following VERBS: fahren | frequency: 6
In the Session: 1 had been used the following VERBS: abgeben | frequency: 6
In the Session: 1 had been used the following VERBS: liegen | frequency: 6
In the Session: 1 had been used the following VERBS: vor | frequency: 6
In the Session: 1 had been used the following VERBS: bleiben | frequency: 6
In the Session: 1 had been used the following VERBS: stellen | frequency: 6
In the Session: 1 had been used the following VERBS: habe | frequency: 6
In the Session: 1 had been used the following VERBS: sprechen | frequency: 6
In the Session: 1 had been used the following VERBS: einsetzen | frequency: 5
In the Session: 1 had been used the following VERBS: sitzen | frequency: 5
In the Session: 1 had been used the following VERBS: reden | frequency: 5
In the Session: 1 had been used the following VERBS: erhalten | frequency: 5
In the Session: 1 had been used the following VERBS: schließen | frequency: 5
In the Session: 1 had been used the following VERBS: erleben | frequency: 5
In the Session: 1 had been used the following VERBS: treffen | frequency: 5
In the Session: 1 had been used the following VERBS: verstehen | frequency: 5
In the Session: 1 had been used the following VERBS: beantragen | frequency: 5
In the Session: 1 had been used the following VERBS: abstimmen | frequency: 5
In the Session: 1 had been used the following VERBS: beraten | frequency: 5
In the Session: 1 had been used the following VERBS: meinen | frequency: 5
In the Session: 1 had been used the following VERBS: lassen | frequency: 5
In the Session: 1 had been used the following VERBS: beglückwünschen | frequency: 4
In the Session: 1 had been used the following VERBS: lieb | frequency: 4
In the Session: 1 had been used the following VERBS: schauen | frequency: 4
In the Session: 1 had been used the following VERBS: übernehmen | frequency: 4
In the Session: 1 had been used the following VERBS: einnehmen | frequency: 4
In the Session: 1 had been used the following VERBS: soll | frequency: 4
In the Session: 1 had been used the following VERBS: danke | frequency: 4
In the Session: 1 had been used the following VERBS: hören | frequency: 4
In the Session: 1 had been used the following VERBS: entscheiden | frequency: 4
In the Session: 1 had been used the following VERBS: stärken | frequency: 4
In the Session: 1 had been used the following VERBS: ablehnen | frequency: 4
In the Session: 1 had been used the following VERBS: glauben | frequency: 4
In the Session: 1 had been used the following VERBS: wissen | frequency: 4
In the Session: 1 had been used the following VERBS: diskutieren | frequency: 4
In the Session: 1 had been used the following VERBS: fühlen | frequency: 4
In the Session: 1 had been used the following VERBS: wünsche | frequency: 3
In the Session: 1 had been used the following VERBS: anhören | frequency: 3
In the Session: 1 had been used the following VERBS: denken | frequency: 3
In the Session: 1 had been used the following VERBS: bitten | frequency: 3
In the Session: 1 had been used the following VERBS: stehen | frequency: 3
In the Session: 1 had been used the following VERBS: weiß | frequency: 3
In the Session: 1 had been used the following VERBS: durchführen | frequency: 3
In the Session: 1 had been used the following VERBS: scheinen | frequency: 3
In the Session: 1 had been used the following VERBS: führen | frequency: 3
In the Session: 1 had been used the following VERBS: schlagen | frequency: 3
In the Session: 1 had been used the following VERBS: debattieren | frequency: 3
In the Session: 1 had been used the following VERBS: legen | frequency: 3
In the Session: 1 had been used the following VERBS: gehören | frequency: 3
In the Session: 1 had been used the following VERBS: vorschlagen | frequency: 3
In the Session: 1 had been used the following VERBS: fordern | frequency: 3
In the Session: 1 had been used the following VERBS: besetzen | frequency: 3
In the Session: 1 had been used the following VERBS: verzichten | frequency: 3
In the Session: 1 had been used the following VERBS: leisten | frequency: 3
In the Session: 1 had been used the following VERBS: versuchen | frequency: 3
In the Session: 1 had been used the following VERBS: danken | frequency: 3
In the Session: 1 had been used the following VERBS: ankündigen | frequency: 3
In the Session: 1 had been used the following VERBS: schreiben | frequency: 3
In the Session: 1 had been used the following VERBS: wachsen | frequency: 3
In the Session: 1 had been used the following VERBS: einbringen | frequency: 3
In the Session: 1 had been used the following VERBS: vorstellen | frequency: 3
In the Session: 1 had been used the following VERBS: tragen | frequency: 3
In the Session: 1 had been used the following VERBS: unterbrechen | frequency: 3
In the Session: 1 had been used the following VERBS: durch | frequency: 3
In the Session: 1 had been used the following VERBS: statt | frequency: 3
In the Session: 1 had been used the following VERBS: kennen | frequency: 2
In the Session: 1 had been used the following VERBS: bedarf | frequency: 2
In the Session: 1 had been used the following VERBS: unterscheiden | frequency: 2
In the Session: 1 had been used the following VERBS: befragen | frequency: 2
In the Session: 1 had been used the following VERBS: folgen | frequency: 2
In the Session: 1 had been used the following VERBS: antreten | frequency: 2
In the Session: 1 had been used the following VERBS: brechen | frequency: 2
In the Session: 1 had been used the following VERBS: missbrauchen | frequency: 2
In the Session: 1 had been used the following VERBS: bringen | frequency: 2
In the Session: 1 had been used the following VERBS: erzielen | frequency: 2
In the Session: 1 had been used the following VERBS: signalisieren | frequency: 2
In the Session: 1 had been used the following VERBS: ausgrenzen | frequency: 2
In the Session: 1 had been used the following VERBS: wahrnehmen | frequency: 2
In the Session: 1 had been used the following VERBS: geschehen | frequency: 2
In the Session: 1 had been used the following VERBS: zurück | frequency: 2
In the Session: 1 had been used the following VERBS: bessern | frequency: 2
In the Session: 1 had been used the following VERBS: verlängern | frequency: 2
In the Session: 1 had been used the following VERBS: abwenden | frequency: 2
In the Session: 1 had been used the following VERBS: ertragen | frequency: 2
In the Session: 1 had been used the following VERBS: ringen | frequency: 2
In the Session: 1 had been used the following VERBS: entstehen | frequency: 2
In the Session: 1 had been used the following VERBS: werfen | frequency: 2
In the Session: 1 had been used the following VERBS: beschließen | frequency: 2
In the Session: 1 had been used the following VERBS: vorfahren | frequency: 2
In the Session: 1 had been used the following VERBS: verändern | frequency: 2
In the Session: 1 had been used the following VERBS: funktionieren | frequency: 2
In the Session: 1 had been used the following VERBS: auf | frequency: 2
In the Session: 1 had been used the following VERBS: lösen | frequency: 2
In the Session: 1 had been used the following VERBS: müssten | frequency: 2
In the Session: 1 had been used the following VERBS: siehe | frequency: 2
In the Session: 1 had been used the following VERBS: begrüßen | frequency: 2
In the Session: 1 had been used the following VERBS: überweisen | frequency: 2
In the Session: 1 had been used the following VERBS: Kommen | frequency: 2
In the Session: 1 had been used the following VERBS: geraten | frequency: 2
In the Session: 1 had been used the following VERBS: Nehmen | frequency: 2
In the Session: 1 had been used the following VERBS: verdienen | frequency: 2
In the Session: 1 had been used the following VERBS: drücken | frequency: 2
In the Session: 1 had been used the following VERBS: erheben | frequency: 2
In the Session: 1 had been used the following VERBS: ziehen | frequency: 2
In the Session: 1 had been used the following VERBS: aushalten | frequency: 2
In the Session: 1 had been used the following VERBS: entsprechen | frequency: 2
In the Session: 1 had been used the following VERBS: verlieren | frequency: 2
In the Session: 1 had been used the following VERBS: Handle | frequency: 2
In the Session: 1 had been used the following VERBS: nennen | frequency: 2
In the Session: 1 had been used the following VERBS: gelten | frequency: 2
In the Session: 1 had been used the following VERBS: vereinbart | frequency: 2
In the Session: 1 had been used the following VERBS: enthalten | frequency: 2
In the Session: 1 had been used the following VERBS: gelingen | frequency: 2
In the Session: 1 had been used the following VERBS: begeben | frequency: 2
In the Session: 1 had been used the following VERBS: verpflichten | frequency: 2
In the Session: 1 had been used the following VERBS: wiederfinden | frequency: 2
In the Session: 1 had been used the following VERBS: dienen | frequency: 2
In the Session: 1 had been used the following VERBS: heißen | frequency: 2
In the Session: 1 had been used the following VERBS: Haben | frequency: 2
In the Session: 1 had been used the following VERBS: kennzeichnen | frequency: 2
In the Session: 1 had been used the following VERBS: festlegen | frequency: 2
In the Session: 1 had been used the following VERBS: abstreifen | frequency: 1
In the Session: 1 had been used the following VERBS: vorgeben | frequency: 1
In the Session: 1 had been used the following VERBS: steigen | frequency: 1
In the Session: 1 had been used the following VERBS: beseelen | frequency: 1
In the Session: 1 had been used the following VERBS: akzeptieren | frequency: 1
In the Session: 1 had been used the following VERBS: handeln | frequency: 1
In the Session: 1 had been used the following VERBS: empfehlen | frequency: 1
In the Session: 1 had been used the following VERBS: abwählen | frequency: 1
In the Session: 1 had been used the following VERBS: 24. | frequency: 1
