Speaker = Carsten Schneider

The Speaker: Carsten Schneider had used the following VERBS: sein | frequency: 496
The Speaker: Carsten Schneider had used the following VERBS: haben | frequency: 343
The Speaker: Carsten Schneider had used the following VERBS: werden | frequency: 210
The Speaker: Carsten Schneider had used the following VERBS: wollen | frequency: 96
The Speaker: Carsten Schneider had used the following VERBS: können | frequency: 84
The Speaker: Carsten Schneider had used the following VERBS: geben | frequency: 65
The Speaker: Carsten Schneider had used the following VERBS: machen | frequency: 64
The Speaker: Carsten Schneider had used the following VERBS: sagen | frequency: 62
The Speaker: Carsten Schneider had used the following VERBS: gehen | frequency: 54
The Speaker: Carsten Schneider had used the following VERBS: müssen | frequency: 43
The Speaker: Carsten Schneider had used the following VERBS: brauchen | frequency: 42
The Speaker: Carsten Schneider had used the following VERBS: mein | frequency: 37
The Speaker: Carsten Schneider had used the following VERBS: kommen | frequency: 35
The Speaker: Carsten Schneider had used the following VERBS: habe | frequency: 32
The Speaker: Carsten Schneider had used the following VERBS: sollen | frequency: 31
The Speaker: Carsten Schneider had used the following VERBS: stehen | frequency: 30
The Speaker: Carsten Schneider had used the following VERBS: muss | frequency: 30
The Speaker: Carsten Schneider had used the following VERBS: hören | frequency: 24
The Speaker: Carsten Schneider had used the following VERBS: sprechen | frequency: 21
The Speaker: Carsten Schneider had used the following VERBS: finden | frequency: 21
The Speaker: Carsten Schneider had used the following VERBS: stellen | frequency: 18
The Speaker: Carsten Schneider had used the following VERBS: tun | frequency: 16
The Speaker: Carsten Schneider had used the following VERBS: heißen | frequency: 15
The Speaker: Carsten Schneider had used the following VERBS: dürfen | frequency: 15
The Speaker: Carsten Schneider had used the following VERBS: glauben | frequency: 14
The Speaker: Carsten Schneider had used the following VERBS: weiß | frequency: 14
The Speaker: Carsten Schneider had used the following VERBS: führen | frequency: 14
The Speaker: Carsten Schneider had used the following VERBS: beschließen | frequency: 14
The Speaker: Carsten Schneider had used the following VERBS: entscheiden | frequency: 14
